,Driver,Year,Circuit,Compounds,StintLengths,Team,StartingPosition,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0,AIT,2020,Bahrain International Circuit - 87 laps,"['MEDIUM', 'HARD', 'MEDIUM', 'SOFT']","[31, 23, 5, 28]",Williams,17.0,20.947244094488195,58.169291338582674,1015.9417322834648,0.0,23.469291338582668,122.75590551181102,1.948031496062992
1,ALB,2019,Yas Marina Circuit,"['MEDIUM', 'HARD']","[13, 42]",Red Bull Racing,5.0,26.018045112781955,64.47142857142858,1015.3834586466164,0.0,29.566165413533835,221.09774436090223,1.2646616541353384
2,ALB,2019,Albert Park Circuit,"['SOFT', 'MEDIUM']","[14, 43]",Toro Rosso,13.0,23.47786885245901,70.4532786885246,1015.3344262295084,0.0,41.31311475409837,155.327868852459,1.166393442622951
3,ALB,2019,,"['MEDIUM', 'HARD']","[35, 35]",Toro Rosso,18.0,34.44406779661016,17.965254237288136,940.8889830508476,0.0,50.74406779661018,188.85593220338984,1.225423728813559
4,ALB,2019,Baku City Circuit,"['SOFT', 'MEDIUM']","[12, 38]",Toro Rosso,11.0,19.76356589147287,51.40852713178294,1013.7751937984495,0.0,39.65426356589147,167.48062015503876,1.2496124031007751
5,ALB,2019,Bahrain International Circuit - 57 laps,"['SOFT', 'SOFT', 'MEDIUM']","[9, 16, 32]",Toro Rosso,12.0,26.21085271317829,53.372093023255815,1003.4372093023256,0.0,28.610852713178296,60.72093023255814,2.7108527131782947
6,ALB,2019,Circuit de Spa-Francorchamps,"['MEDIUM', 'SOFT']","[23, 21]",Red Bull Racing,17.0,17.4,57.03,968.2575,0.0,28.119166666666665,154.29166666666666,2.0358333333333336
7,ALB,2019,Interlagos Circuit,"['SOFT', 'MEDIUM', 'SOFT']","[24, 26, 21]",Red Bull Racing,5.0,21.016793893129773,60.28931297709924,924.7916030534352,0.0,46.45343511450381,149.05343511450383,1.287786259541985
8,ALB,2019,Silverstone Circuit,"['SOFT', 'MEDIUM']","[13, 39]",Toro Rosso,9.0,18.90508474576272,62.135593220338976,1006.3330508474576,0.0,30.32203389830509,64.38983050847457,2.011864406779661
9,ALB,2019,Circuit Gilles Villeneuve,"['MEDIUM', 'HARD']","[1, 59]",Toro Rosso,13.0,29.368253968253967,16.14761904761905,1022.1111111111112,0.0,51.098412698412695,224.3095238095238,1.3087301587301583
