Driver,Stint,Compound,StintLength,Team,StartingPosition,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Year,Circuit
ALB,1.0,SOFT,21,Red Bull Racing,4.0,0 days 01:04:38.184825,28.684166666666666,33.8325,938.7708333333334,0.0,52.025,97.025,1.8875,2020,Austrian Grand Prix
ALB,2.0,HARD,25,Red Bull Racing,4.0,0 days 01:04:38.184825,28.684166666666666,33.8325,938.7708333333334,0.0,52.025,97.025,1.8875,2020,Austrian Grand Prix
ALB,3.0,SOFT,5,Red Bull Racing,4.0,0 days 01:04:38.184825,28.684166666666666,33.8325,938.7708333333334,0.0,52.025,97.025,1.8875,2020,Austrian Grand Prix
ALB,4.0,SOFT,12,Red Bull Racing,4.0,0 days 01:04:38.184825,28.684166666666666,33.8325,938.7708333333334,0.0,52.025,97.025,1.8875,2020,Austrian Grand Prix
BOT,1.0,SOFT,22,Mercedes,1.0,0 days 01:04:38.184825,28.684166666666666,33.8325,938.7708333333334,0.0,52.025,97.025,1.8875,2020,Austrian Grand Prix
BOT,2.0,HARD,30,Mercedes,1.0,0 days 01:04:38.184825,28.684166666666666,33.8325,938.7708333333334,0.0,52.025,97.025,1.8875,2020,Austrian Grand Prix
BOT,3.0,HARD,16,Mercedes,1.0,0 days 01:04:38.184825,28.684166666666666,33.8325,938.7708333333334,0.0,52.025,97.025,1.8875,2020,Austrian Grand Prix
GAS,1.0,MEDIUM,21,AlphaTauri,12.0,0 days 01:04:38.184825,28.684166666666666,33.8325,938.7708333333334,0.0,52.025,97.025,1.8875,2020,Austrian Grand Prix
GAS,2.0,HARD,30,AlphaTauri,12.0,0 days 01:04:38.184825,28.684166666666666,33.8325,938.7708333333334,0.0,52.025,97.025,1.8875,2020,Austrian Grand Prix
GAS,3.0,HARD,15,AlphaTauri,12.0,0 days 01:04:38.184825,28.684166666666666,33.8325,938.7708333333334,0.0,52.025,97.025,1.8875,2020,Austrian Grand Prix
GIO,1.0,MEDIUM,20,Alfa Romeo Racing,18.0,0 days 01:04:38.184825,28.684166666666666,33.8325,938.7708333333334,0.0,52.025,97.025,1.8875,2020,Austrian Grand Prix
GIO,2.0,HARD,30,Alfa Romeo Racing,18.0,0 days 01:04:38.184825,28.684166666666666,33.8325,938.7708333333334,0.0,52.025,97.025,1.8875,2020,Austrian Grand Prix
GIO,3.0,SOFT,1,Alfa Romeo Racing,18.0,0 days 01:04:38.184825,28.684166666666666,33.8325,938.7708333333334,0.0,52.025,97.025,1.8875,2020,Austrian Grand Prix
GIO,4.0,SOFT,15,Alfa Romeo Racing,18.0,0 days 01:04:38.184825,28.684166666666666,33.8325,938.7708333333334,0.0,52.025,97.025,1.8875,2020,Austrian Grand Prix
GRO,1.0,MEDIUM,19,Haas F1 Team,15.0,0 days 01:04:38.184825,28.684166666666666,33.8325,938.7708333333334,0.0,52.025,97.025,1.8875,2020,Austrian Grand Prix
GRO,2.0,HARD,25,Haas F1 Team,15.0,0 days 01:04:38.184825,28.684166666666666,33.8325,938.7708333333334,0.0,52.025,97.025,1.8875,2020,Austrian Grand Prix
HAM,1.0,SOFT,21,Mercedes,5.0,0 days 01:04:38.184825,28.684166666666666,33.8325,938.7708333333334,0.0,52.025,97.025,1.8875,2020,Austrian Grand Prix
HAM,2.0,HARD,30,Mercedes,5.0,0 days 01:04:38.184825,28.684166666666666,33.8325,938.7708333333334,0.0,52.025,97.025,1.8875,2020,Austrian Grand Prix
HAM,3.0,HARD,15,Mercedes,5.0,0 days 01:04:38.184825,28.684166666666666,33.8325,938.7708333333334,0.0,52.025,97.025,1.8875,2020,Austrian Grand Prix
