Driver,Year,Circuit,nLaps,NumberOfStints,CompoundStrategy,StintLengthStrategy,Team,StartingPosition,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,mean_brake_time,std_brake_time,AvgSpeed,StdSpeed,AvgSpeedDelta,StdSpeedDelta,AvgGearChanges
ALB,2019,Yas Marina Circuit,58,2,"['MEDIUM', 'HARD']","[13, 42]",Red Bull Racing,5,26.018045112781955,64.47142857142858,1015.3834586466164,0.0,29.566165413533835,221.09774436090223,1.2646616541353384,20.155586996337,1.1909862951875314,190.14651800771583,4.104201133562993,246.56501831501834,15.577113557402207,48.759157509157504
ALB,2019,Albert Park Circuit,58,2,"['SOFT', 'MEDIUM']","[14, 43]",Toro Rosso,13,23.47786885245901,70.4532786885246,1015.3344262295084,0.0,41.31311475409837,155.327868852459,1.166393442622951,16.107622093023252,2.0457141770092417,207.6577993004794,6.32575722465003,225.93109617389194,19.1187942440625,45.69186046511628
ALB,2019,Red Bull Ring,71,2,"['MEDIUM', 'HARD']","[35, 35]",Toro Rosso,18,34.44406779661016,17.965254237288136,940.8889830508476,0.0,50.74406779661018,188.85593220338984,1.225423728813559,13.635128571428574,2.0894509730979807,219.1878163076962,6.962654337386981,240.65714285714287,15.16551145848328,38.714285714285715
ALB,2019,Baku City Circuit,51,2,"['SOFT', 'MEDIUM']","[12, 38]",Toro Rosso,11,19.76356589147287,51.40852713178294,1013.7751937984495,0.0,39.65426356589147,167.48062015503876,1.2496124031007751,26.073192982456142,2.4242884401007943,193.90175107744278,7.89156625324237,269.9890311953216,16.208025233299093,65.03728070175438
ALB,2019,Bahrain International Circuit,57,3,"['SOFT', 'SOFT', 'MEDIUM']","[9, 16, 32]",Toro Rosso,12,26.210852713178287,53.372093023255815,1003.4372093023256,0.0,28.610852713178293,60.72093023255814,2.7108527131782947,21.51114814814815,2.543971208664924,193.3317815134369,9.22122071767844,258.3275462962963,16.34742327684167,55.267361111111114
ALB,2019,Circuit de Spa-Francorchamps,44,2,"['MEDIUM', 'SOFT']","[23, 21]",Red Bull Racing,17,17.4,57.03,968.2575,0.0,28.119166666666665,154.29166666666666,2.0358333333333336,18.933272256728777,4.673025555609621,219.6768935745935,17.75790864916722,271.39751552795036,19.540113866699205,46.85300207039337
ALB,2019,Interlagos Circuit,71,3,"['SOFT', 'MEDIUM', 'SOFT']","[24, 26, 21]",Red Bull Racing,5,21.016793893129773,60.289312977099236,924.7916030534352,0.0,46.45343511450381,149.05343511450383,1.287786259541985,15.030258699633698,3.560402533990093,196.52935157288718,15.784657665043357,238.27550876678674,23.892127233090083,38.69505494505495
ALB,2019,Silverstone Circuit,52,2,"['SOFT', 'MEDIUM']","[13, 39]",Toro Rosso,9,18.90508474576272,62.135593220338976,1006.3330508474576,0.0,30.32203389830509,64.38983050847457,2.011864406779661,16.571794871794875,2.5977244961527632,222.98180228821298,12.442202638328176,232.01282051282055,19.556437396029537,39.56410256410257
ALB,2019,Circuit Gilles Villeneuve,70,2,"['MEDIUM', 'HARD']","[1, 59]",Toro Rosso,13,29.368253968253967,16.14761904761905,1022.1111111111112,0.0,51.098412698412695,224.3095238095238,1.3087301587301583,32.34494915254238,0.6100416330257352,161.97499900897606,1.535296272784913,279.3220338983051,5.449119592909845,50.813559322033896
ALB,2019,Shanghai International Circuit,56,2,"['SOFT', 'HARD']","[19, 36]",Toro Rosso,0,19.32992125984252,45.98110236220473,1019.2181102362204,0.0,27.33700787401575,93.8031496062992,3.3157480314960632,19.767169590643277,2.7046174228889335,192.32420492249463,8.185784707681055,255.9795321637427,13.462108243710336,47.47149122807017
ALB,2019,Circuit Paul Ricard,53,2,"['MEDIUM', 'HARD']","[25, 27]",Toro Rosso,11,26.89421487603306,39.09090909090909,966.7239669421492,0.0,54.525619834710746,97.66115702479338,1.6785123966942148,18.675020000000004,1.720434513276107,211.86625314348112,7.003214314772906,245.02592592592592,18.013071321823737,45.76814814814815
ALB,2019,Hungaroring Circuit,70,2,"['MEDIUM', 'HARD']","[28, 41]",Toro Rosso,12,25.66,33.893076923076926,986.4846153846154,0.0,44.09692307692308,192.77692307692308,1.1938461538461538,20.341168989547036,1.3792700396921798,187.2258599191398,5.238327206446363,222.04311846689893,16.24588191649693,42.75
ALB,2019,Autodromo Nazionale Monza,53,2,"['SOFT', 'MEDIUM']","[26, 27]",Red Bull Racing,8,21.0972972972973,51.57477477477477,989.2405405405406,0.0,33.04054054054055,221.07207207207207,1.5666666666666669,12.888068376068377,2.492856282215376,240.5111575423515,11.100337683345819,271.8618233618234,14.071315127009887,36.51139601139601
ALB,2019,Suzuka Circuit,53,3,"['SOFT', 'MEDIUM', 'SOFT']","[15, 19, 19]",Red Bull Racing,6,21.619354838709672,57.47822580645161,1009.141935483871,0.0,32.18387096774193,286.991935483871,5.468548387096775,14.125895906432746,1.5899058281283143,218.2251530432346,7.254026927368899,250.9263157894737,16.059624908854403,39.18245614035087
ALB,2019,Autódromo Hermanos Rodríguez,71,3,"['MEDIUM', 'MEDIUM', 'HARD']","[14, 30, 27]",Red Bull Racing,5,23.203030303030303,46.28787878787879,780.509090909091,0.0,41.633333333333326,150.46969696969697,1.3265151515151512,18.861484479717813,2.0671462375137044,186.06834805599775,9.626317734563598,265.12892416225753,14.725720471709941,40.42557319223986
ALB,2019,Circuit de Monaco,78,2,"['SOFT', 'MEDIUM']","[40, 38]",Toro Rosso,10,22.7546762589928,52.69784172661871,1010.9107913669066,0.6258992805755396,32.72949640287769,130.84172661870502,0.9035971223021584,23.629582236842104,1.872209551727226,148.79255479953602,7.092535888659473,242.5907894736842,8.770234456872352,43.63947368421053
ALB,2019,Sochi Autodrom,53,2,"['MEDIUM', 'SOFT']","[29, 24]",Red Bull Racing,0,22.02977099236641,67.41526717557252,1016.7824427480916,0.0076335877862595,34.33206106870229,255.18320610687024,1.8740458015267176,20.950545977011494,5.767678249404012,199.6070443122547,22.624935354213314,231.21120689655172,18.63529835990984,52.678160919540225
ALB,2019,Marina Bay Street Circuit,61,2,"['SOFT', 'HARD']","[20, 41]",Red Bull Racing,6,29.965161290322584,66.45548387096774,1010.941935483871,0.0,35.752903225806456,166.88387096774193,1.8574193548387092,28.464425000000002,2.5673127316181397,159.37305115783585,13.102007200864454,238.67243991577686,14.714300317038576,60.21951219512195
ALB,2019,Circuit de Barcelona-Catalunya,66,3,"['SOFT', 'MEDIUM', 'MEDIUM']","[25, 20, 21]",Toro Rosso,11,20.147727272727277,54.724242424242426,1006.7916666666666,0.0,40.72727272727273,153.82575757575756,1.9295454545454545,17.703423174603174,3.2379400484578063,192.28621458155942,15.571386926552082,239.43142857142857,15.103335432713726,43.28444444444445
ALB,2020,Silverstone Circuit,52,3,"['MEDIUM', 'HARD', 'HARD']","[6, 24, 22]",Red Bull Racing,9,25.28706896551724,58.556034482758626,1000.9508620689656,0.0,43.22758620689657,71.93103448275862,2.236206896551724,15.99297095959596,1.6379903171096373,224.97101034111066,7.7823808912486365,235.92803030303028,24.802703919928692,35.303030303030305
ALB,2020,Yas Marina Circuit,58,2,"['SOFT', 'HARD']","[10, 45]",Red Bull Racing,5,23.12148148148148,55.44666666666667,1015.8474074074076,0.0,27.98,258.24444444444447,2.504444444444444,21.71378888888889,3.7908579442296224,188.04095070712353,14.185861545977634,245.68333333333334,18.615790196337873,48.13333333333333
ALB,2020,Circuit de Spa-Francorchamps,44,2,"['SOFT', 'SOFT']","[11, 33]",Red Bull Racing,5,18.568595041322315,54.85289256198346,962.4297520661156,0.0,29.82396694214876,251.0082644628099,1.465289256198347,19.816166666666668,6.541368358784672,218.8004595941523,21.140214633332498,262.77272727272725,17.372568122121347,43.31818181818181
ALB,2020,Silverstone Circuit,52,3,"['MEDIUM', 'HARD', 'MEDIUM']","[6, 24, 22]",Red Bull Racing,12,21.29140625,44.16796874999999,998.40859375,0.0,40.6328125,217.0703125,3.1140625000000006,21.35123611111111,5.820945152028493,201.85940740774254,24.985718008771936,229.73358585858583,28.97318938075355,39.82954545454545
ALB,2020,Nürburgring GP-Strecke Circuit,60,2,"['SOFT', 'MEDIUM']","[7, 16]",Red Bull Racing,5,9.499999999999998,59.40408163265305,947.3591836734694,0.0204081632653061,16.360204081632652,89.92857142857143,1.6173469387755104,21.165897321428574,1.6221968661080124,191.9608463710108,7.9053701351654375,235.62053571428572,13.429168014205679,47.276785714285715
ALB,2020,Autodromo Enzo e Dino Ferrari,63,3,"['SOFT', 'HARD', 'SOFT']","[14, 45, 4]",Red Bull Racing,6,18.0304,71.1368,1017.8920000000002,0.0,23.2608,89.896,1.3416,17.03550052910053,4.291077396079793,212.3872848461809,19.319083979157856,222.70539682539683,25.64233996314533,40.44179894179894
ALB,2020,Autodromo Nazionale Monza,53,3,"['SOFT', 'MEDIUM', 'HARD']","[22, 4, 27]",Red Bull Racing,9,28.090909090909093,40.12447552447553,990.7804195804196,0.0,41.201398601398594,180.78321678321677,1.520979020979021,21.806163580246913,6.40135003288204,212.471802906632,31.685964508456976,278.8333333333333,26.04135905571425,45.399551066217725
ALB,2020,Algarve International Circuit,66,3,"['SOFT', 'MEDIUM', 'SOFT']","[19, 27, 19]",Red Bull Racing,6,20.50546875,67.528125,1007.3406250000002,0.0,25.715625,133.4921875,4.040625,17.65172449642625,1.9938049525271022,199.89270884108132,9.60829540750669,241.19825675932066,16.24880101026383,44.18518518518518
ALB,2020,Sochi Autodrom,53,3,"['SOFT', 'HARD', 'MEDIUM']","[1, 26, 26]",Red Bull Racing,15,28.80606060606061,51.36287878787879,1012.878787878788,0.0,40.34242424242424,229.58333333333334,1.428787878787879,26.390884615384618,3.5853036200615196,176.30831706290826,12.505452044552209,260.64102564102564,13.231636300264853,53.65384615384615
ALB,2020,Bahrain International Circuit,87,3,"['MEDIUM', 'HARD', 'SOFT']","[47, 15, 25]",Red Bull Racing,12,20.947244094488195,58.169291338582674,1015.9417322834648,0.0,23.469291338582668,122.75590551181102,1.948031496062992,11.702395460992909,3.8387496826289493,204.73146112992944,25.535342093713144,247.16678959810875,21.408229855301784,31.100898345153666
ALB,2020,Circuit de Barcelona-Catalunya,66,3,"['SOFT', 'HARD', 'MEDIUM']","[17, 22, 26]",Red Bull Racing,6,29.7968992248062,56.38449612403101,997.7038759689925,0.0,47.55581395348836,167.93023255813952,1.5449612403100776,17.006725764431646,1.413801668653669,194.92958342379868,6.11469362449818,237.3095433977787,15.133530708218032,36.614493349787466
ALB,2020,Red Bull Ring,71,2,"['SOFT', 'MEDIUM']","[35, 36]",Red Bull Racing,6,20.8225,34.005,945.91,0.0166666666666666,39.92,106.50833333333334,2.228333333333333,12.808787698412697,2.6755043432363093,221.4966475614251,14.7441974547445,233.9288888431746,13.730580969021352,32.29246031746032
ALB,2022,Yas Marina Circuit,58,3,"['MEDIUM', 'HARD', 'MEDIUM']","[12, 23, 22]",Williams,19,28.575483870967748,61.68387096774194,1013.5206451612902,0.0,34.31032258064516,290.7935483870968,2.608387096774193,17.72994532279315,1.853693134749056,201.79508842400818,6.737309208288029,256.9229249011858,17.63542690565819,41.07949055775143
ALB,2022,Albert Park Circuit,58,2,"['HARD', 'SOFT']","[57, 1]",Williams,20,26.69743589743589,43.65384615384615,1014.2461538461536,0.0,37.40833333333334,272.8397435897436,1.8128205128205128,14.988859649122809,3.569283546166263,211.17793309476457,13.701512020814492,228.78591822934024,9.8918934367791,41.771929824561404
ALB,2022,Red Bull Ring,71,3,"['MEDIUM', 'HARD', 'HARD']","[11, 31, 28]",Williams,15,20.25592105263158,35.13815789473684,939.7125,0.0,30.74671052631579,165.43421052631578,1.2552631578947369,15.718540811339196,1.6769450210872543,212.3668339518524,9.84422272302273,248.53225806451613,15.51413792956665,39.29730484569194
ALB,2022,Baku City Circuit,51,3,"['MEDIUM', 'HARD', 'HARD']","[9, 20, 21]",Williams,17,25.435403726708085,59.49068322981366,1009.9012422360248,0.0,47.14968944099379,266.2919254658385,1.529192546583851,27.620570105820107,5.31653549941491,188.95855556015204,11.765712230126141,263.4809454945647,19.938931695515336,55.25396825396825
ALB,2022,Circuit de Spa-Francorchamps,44,3,"['MEDIUM', 'HARD', 'MEDIUM']","[10, 16, 18]",Williams,6,21.78717948717949,40.51923076923077,971.0519230769228,0.0,36.08397435897436,257.1474358974359,1.5192307692307692,22.44383981481481,4.2493800241617725,208.21839010815992,14.32242816919414,264.9236111111111,19.648067214260674,44.55370370370371
ALB,2022,Circuit Gilles Villeneuve,70,3,"['MEDIUM', 'HARD', 'HARD']","[18, 30, 22]",Williams,12,20.762962962962963,28.925925925925927,1012.4012345679012,0.0,41.26111111111111,141.24074074074073,3.5524691358024696,19.13295117845118,3.7245613341615083,187.71189009100362,16.597293527045917,257.8114478114478,17.30274200275259,44.54949494949494
ALB,2022,Circuit Paul Ricard,53,2,"['MEDIUM', 'HARD']","[18, 35]",Williams,13,30.164843750000003,47.734375,967.9078125,0.0,54.46171875,118.1484375,1.94609375,21.714435714285713,2.8366410241138444,201.49659482436053,13.852404165940836,243.77222222222224,16.394629719663627,42.66587301587302
ALB,2022,Autódromo Hermanos Rodríguez,71,2,"['MEDIUM', 'SOFT']","[38, 32]",Williams,17,24.312727272727276,34.442424242424245,780.4072727272726,0.0,41.68909090909092,197.79393939393935,1.336969696969697,21.497009868421053,1.78098094478446,179.02464848094792,6.183328228211842,275.23108552631584,10.525172846901613,31.092105263157897
